Protein A (unique pairs!!)	Protein B (unique pairs!!)	UniProt species A	UniProt species B	UniProt accessions A	UniProt accessions B	UniProt IDs A	UniProt IDs B	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI	Known interaction	Protein A has known interactions	Protein B has known interactions	HPA nuclear A	HPA nuclear B	HPA cytoplasmic A	HPA cytoplasmic B	HPA main locations A	HPA additional locations A	HPA main locations B	HPA additional locations B	HPA shared locations	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	ENCODE eCLIP data A	ENCODE eCLIP data B	Jaccard index	Cobinding prob p(A|B)	Cobinding prob p(B|A)	Cobinding prob p(A|B) (≤50 nt)	Cobinding prob p(B|A) (≤50 nt)	Cobinding odds ratio	Close binding events (≤50 nt) A vs. B	Fraction of close binding events A vs. B	Fraction of close binding events in random data A vs. B	Ratio of fractions A vs. B	Resampling p-value A vs. B	Resampling Wilcoxon p-value A vs. B	Close binding events (≤50 nt) B vs. A	Fraction of close binding events B vs. A	Fraction of close binding events in random data B vs. A	Ratio of fractions B vs. A	Resampling p-value B vs. A	Resampling Wilcoxon p-value B vs. A	strict
U2AF1	U2AF2	HUMAN	MOUSE	Q01081	P26369	U2AF1_HUMAN	U2AF2_MOUSE	11	10.26	14.24	6.45	1393.82	1	9.07	9.02	1	5	15.4	298.6	1	1	1	1	1	1	1	1	1	0	0	Nucleoplasm	N/A	Nuclear speckles	Nucleoplasm	Nucleoplasm	0	N/A	N/A	N/A	1	1	0.2545532461967	0.258879930268032	0.938388625592417	0.223796033994334	0.811216429699842	42.7276592857304	1940	0.8248299	0.04121907	20.0108808859589	0	0	2632	0.3648461	0.01448848	25.181806511104	0	0	1
SFPQ	NONO	HUMAN	MOUSE	P23246	Q99K48	SFPQ_HUMAN	NONO_MOUSE	11	8.09	11.99	0.55	185.64	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0	1	1	1	1	1	0	0	Nucleoplasm	N/A	Nucleoplasm	Nuclear speckles;Nucleoli fibrillar center	Nucleoplasm	0	N/A	N/A	N/A	1	1	0.192367199587416	0.233416770963705	0.522408963585434	0.15206508135169	0.340336134453782	10.9553821293913	703	0.452381	0.06224617	7.26761180647741	0	0	782	0.1373617	0.01777782	7.72657727437897	0	0	1
NONO	EWSR1	MOUSE	MOUSE	Q99K48	Q61545	NONO_MOUSE	EWS_MOUSE	5	4.96	11.94	0.09	31.18	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0	1	1	1	1	1	0	0	Nucleoplasm	Nuclear speckles;Nucleoli fibrillar center	Nucleoplasm	Nucleoli	Nucleoplasm	0	pos	22.63	5.93	1	1	0.417512012813668	0.739829706717124	0.48936170212766	0.542100283822138	0.358573216520651	42.9856060606061	3718	0.3629087	0.06414356	5.65775738047592	0	0	3569	0.4072806	0.07474658	5.44881919681141	0	0	1
PTBP1	PCBP1	HUMAN	MOUSE	P26599	P60335	PTBP1_HUMAN	PCBP1_MOUSE	5	0	11.8	0	3.45	1	0	0	0	3	0	1.2	1	1	1	0	1	1	1	1	1	0	1	Nucleoplasm	N/A	Nuclear speckles	Cytoplasmic bodies	N/A	0	N/A	N/A	N/A	1	1	0.108222607356056	0.434648105181748	0.125952487673689	0.122969837587007	0.0356342447333034	1.77713353677786	399	0.1309485	0.02104887	6.22116531671296	0	0.6	280	0.1806452	0.02756982	6.55228071855384	0	0	1
PCBP2	IGF2BP2	HUMAN	MOUSE	Q15366	Q5SF07	PCBP2_HUMAN	IF2B2_MOUSE	1	0	11.4	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	1	0	1	0	1	1	Nucleoplasm	Cytosol	Cytosol	N/A	Cytosol	1	N/A	N/A	N/A	1	1	0.161764705882353	0.465608465608466	0.198645598194131	0.130952380952381	0.0558690744920993	3.02373448612467	399	0.1740838	0.02030326	8.57417971301161	0	0	418	0.1826125	0.0206277	8.85278048449415	0	0	1
SFPQ	EWSR1	HUMAN	MOUSE	P23246	Q61545	SFPQ_HUMAN	EWS_MOUSE	3	3.52	11.26	0	23.82	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0	1	1	1	1	1	0	0	Nucleoplasm	N/A	Nucleoplasm	Nucleoli	Nucleoplasm	0	N/A	N/A	N/A	1	1	0.166666666666667	0.239356669820246	0.354341736694678	0.138126773888363	0.204481792717087	8.66213941140286	410	0.318818	0.0575182	5.54290641918558	0	0	410	0.09658422	0.01764858	5.47263405894412	0	0	1
FMR1	FXR2	MOUSE	HUMAN	P35922	P51116	FMR1_MOUSE	FXR2_HUMAN	7	6.2	10.82	1.18	324.91	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1	1	1	1	0	0	1	1	Cytosol	N/A	Cytosol	N/A	Cytosol	1	N/A	N/A	N/A	1	1	0.353067047075606	0.453712190650779	0.614143920595533	0.335472043996334	0.45409429280397	34.1988929411511	2246	0.7524288	0.1001217	7.51514207209826	0	0	2661	0.4288477	0.04992188	8.59037560284188	0	0	1
RBM15	CPSF6	HUMAN	MOUSE	Q96T37	Q6NVF9	RBM15_HUMAN	CPSF6_MOUSE	6	3.34	10.41	0.09	44.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	1	1	1	0	0	Nucleoplasm	N/A	Nuclear speckles;Nucleoplasm	N/A	Nucleoplasm	0	N/A	N/A	N/A	1	1	0.0792492179353493	0.598425196850394	0.0837004405286344	0.0708661417322835	0.00991189427312775	4.64432503770739	68	0.04738676	0.009349045	5.06862037780329	0	0.01	70	0.1282051	0.02307777	5.55535045197175	0	0.11	1
PCBP1	IGF2BP2	MOUSE	MOUSE	P60335	Q5SF07	PCBP1_MOUSE	IF2B2_MOUSE	6	3.29	10.36	0.18	21.82	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0	1	1	1	1	0	1	1	Nuclear speckles	Cytoplasmic bodies	Cytosol	N/A	N/A	1	pos	6.29	0.3	1	1	0.230263157894737	0.347222222222222	0.406032482598608	0.158068783068783	0.184841453982985	8.26130319148936	461	0.2890282	0.03909062	7.39379933088808	0	0	515	0.2348381	0.02938198	7.99258933536814	0	0	1
FXR1	FXR2	MOUSE	HUMAN	Q61584	P51116	FXR1_MOUSE	FXR2_HUMAN	8	6.63	10.24	0.73	149.36	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0	1	1	1	0	0	1	1	Cytosol	N/A	Cytosol	N/A	Cytosol	1	N/A	N/A	N/A	1	1	0.201612903225806	0.206232813932172	0.9	0.128322639780018	0.56	136.060046189376	987	0.7004968	0.1194721	5.86326682129133	0	0	1292	0.2638889	0.03628288	7.27309684346998	0	0	1
