symbol	node_known_protein	node_hpa_nuclear	node_hpa_cytoplasmic	node_hpa_shuttling_loc
APOBEC3C	0	0	1	cytoplasmic
CPSF6	0	1	0	nuclear
CSTF2T	1	1	1	shuttling
DDX21	0	1	0	nuclear
DDX42	0	1	0	nuclear
EWSR1	1	1	0	nuclear
FMR1	1	0	1	cytoplasmic
FUBP3	0	1	1	shuttling
FXR1	1	0	1	cytoplasmic
FXR2	1	0	1	cytoplasmic
HNRNPK	1	1	0	nuclear
IGF2BP2	1	0	1	cytoplasmic
LARP4	0	1	1	shuttling
NONO	1	1	0	nuclear
PCBP1	1	1	1	shuttling
PCBP2	0	1	1	shuttling
PTBP1	1	1	0	nuclear
RBFOX2	1	1	1	shuttling
RBM5	0	1	0	nuclear
RBM15	0	1	0	nuclear
RBM22	0	1	0	nuclear
SF3B4	0	1	0	nuclear
SFPQ	1	1	0	nuclear
SRSF9	0	1	0	nuclear
SUPV3L1	0	0	1	cytoplasmic
TAF15	0	1	0	nuclear
TIA1	0	1	1	shuttling
TRA2A	0	1	1	shuttling
U2AF1	1	1	0	nuclear
U2AF2	1	1	0	nuclear
WDR3	0	1	0	nuclear
ZC3H8	0	1	0	nuclear
