pair_ID	p1	p2	nb_score	nb_std	merged_pairnames	classification_zscore095	Index
R_59	cpeb2	cpeb2	47.78505355	1.537508115	cpeb2_cpeb2	positive	1
J103_02	kif16b_cter	ncbp3	0.951010652	0.327433707	kif16b_cter_ncbp3	negative	2
R_48	srsf9	rbmx	39.77018046	1.315552926	srsf9_rbmx	positive	3
J103_04	tsnax	bicd2	1.247319423	0.282866362	tsnax_bicd2	negative	4
J103_05	tsnax	kif6	1.95031852	0.630362064	tsnax_kif6	negative	5
R_27	msi2	rbm38	36.24747126	0.367623617	msi2_rbm38	positive	6
J103_07	gnl2	kif17v2	0.309796901	0.16737316	gnl2_kif17v2	negative	7
R_256	ddx17	nxf1	33.42442012	2.103897546	ddx17_nxf1	positive	8
R_1	alg13	bag4	29.44632989	0.584338769	alg13_bag4	positive	9
R_44	st13	st13	29.31170821	0.616227997	st13_st13	positive	10
R_289	fmr1	nufip2	27.7742188	0.668726335	fmr1_nufip2	positive	11
R_2	bag4	bag4	26.74162204	0.855427494	bag4_bag4	positive	12
#J103_13	rpl27	kif7	0.562862897	0.156766306	rpl27_kif7	negative	13
J103_14	srsf9	kif6	0.721258397	0.137821299	srsf9_kif6	negative	14
R_12	cpsf7	cpsf7	26.2762482	0.559521971	cpsf7_cpsf7	positive	15
R_11	cpsf7	rbm14	23.9096417	0.60128277	cpsf7_rbm14	positive	16
J103_17	rbm22	bicd2	1.248482371	0.24948299	rbm22_bicd2	negative	17
J103_18	unkl	bicd2	0.500405032	0.098435834	unkl_bicd2	negative	18
J104_21	pard6g	kif3c	23.03212526	2.385822453	pard6g_kif3c	positive	19
J103_20	rpl14	kif12	0.351018436	0.169892377	rpl14_kif12	negative	20
J103_21	srfbp1	kif20a_cter	0.777787661	0.134184681	srfbp1_kif20a_cter	negative	21
R_175	ewsr1	nono	22.62973665	5.928604279	ewsr1_nono	positive	22
J103_23	nxf1	klc2	1.488576609	0.3897355	nxf1_klc2	negative	23
R_157	cpsf6	sfpq	21.57487925	2.234762652	cpsf6_sfpq	positive	24
R_38	pef1	rbm14	20.83097203	1.856333525	pef1_rbm14	positive	25
R_52	ewsr1	hnrnph2	20.33186446	1.527911954	ewsr1_hnrnph2	positive	26
J103_27	ddx1	kif23_cter	0.928238982	0.646951944	ddx1_kif23_cter	negative	27
J103_28	dync1li2	mrps5	1.475742194	0.418771645	dync1li2_mrps5	negative	28
J103_29	kif20a_cter	nelfe	1.837821901	0.647476859	kif20a_cter_nelfe	negative	29
J103_30	kif20a_cter	rpl27	0.339671833	0.155465112	kif20a_cter_rpl27	negative	30
#R_315	dic1a	kif5a	20.22025174	1.852202174	dic1a_kif5a	positive	31
J103_32	kifc1	pes1	1.327106745	0.544251404	kifc1_pes1	negative	32
R_50	qk	rbfox2_gt	18.22076518	0.502437714	qk_rbfox2_gt	positive	33
R_204	klc4	fez2	18.12825475	1.967345431	klc4_fez2	positive	34
R_243	clasp2	rpl9	17.90421309	12.92542659	clasp2_rpl9	positive	35
J103_36	fxr2	srsf11	0.400094428	0.122548073	fxr2_srsf11	negative	36
R_240	clip2	mapre3	17.41438582	2.111810325	clip2_mapre3	positive	37
R_252	rbmx	nxf1	17.17836371	18.36910225	rbmx_nxf1	positive	38
J103_39	lam	larget	1.635418001	0.206371262	lam_larget	negative	39
R_133	rbm15	srsf1	16.91773579	0.979730279	rbm15_srsf1	positive	40
J104_06	rbm47	kif3c	0.826991022	0.133181214	rbm47_kif3c	negative	41
J104_17	klc2	nxf1	0.679093908	0.092984679	klc2_nxf1	negative	42
J104_03	tsnax	klc4	2.026534095	0.300229136	tsnax_klc4	negative	43
R_33	dmrtb1	qk	16.68785357	0.881974339	dmrtb1_qk	positive	44
J104_07	srsf6	nxf1	1.14414709	0.167421449	srsf6_nxf1	negative	45
J103_40	p53	larget	16.45664958	1.000008628	p53_larget	positive	46
R_40	prpf38a	srrm4	16.39693083	1.289821082	prpf38a_srrm4	positive	47
J104_23	dynlt1c	fxr2	0.356608353	0.064817688	dynlt1c_fxr2	negative	48
R_36	rbm14	sfpq	16.29255932	0.426512541	rbm14_sfpq	positive	49
J104_25	dynlt1c	nudt21	0.483003744	0.073393713	dynlt1c_nudt21	negative	50
J104_22	prkci	kif3c	0.103466868	0.02145573	prkci_kif3c	negative	51
#J104_30	ndel1	pard6g_aa1_aa116	0.457890662	0.100925395	ndel1_pard6g_aa1_aa116	negative	52
R_216	klc4	bcas2	16.19307131	2.911688378	klc4_bcas2	positive	53
J104_27	dynlt1c	klc4	1.655152295	0.030442887	dynlt1c_klc4	negative	54
J104_08	mrps5	dync1li2	2.164663834	0.243542072	mrps5_dync1li2	negative	55
#J104_28	lactb	pard6g_aa117_aa156	1.486409847	0.087811406	lactb_pard6g_aa117_aa156	negative	56
J103_16	eif3d	kif23_cter	16.11965653	1.311413577	eif3d_kif23_cter	positive	57
R_156	apobec3c	sfpq	16.04421812	2.879155568	apobec3c_sfpq	positive	58
R_31	cpsf7	pef1	16.04305878	1.333735124	cpsf7_pef1	positive	59
R_20	mbnl1	rbm38	16.02805291	0.19693365	mbnl1_rbm38	positive	60
R_135	ptbp1	qki	15.93501418	1.299127046	ptbp1_qki	positive	61
R_25	bag4	pef1	15.88867791	0.454724096	bag4_pef1	positive	62
J104_02	kif1bx4_cter	ywhae	1.918593072	0.119207488	kif1bx4_cter_ywhae	negative	63
J104_16	kifap3	snrpa1	1.179041792	0.084784079	kifap3_snrpa1	negative	64
R_291	g3bp1	nufip2	15.8261634	2.31056788	g3bp1_nufip2	positive	65
J104_12	apc_cter	eif3d	1.155416226	0.493103985	apc_cter_eif3d	negative	66
J104_31	prpf3	mapre2	15.53497154	0.638343916	prpf3_mapre2	positive	67
J104_32	rbm14	apc_cter	2.152949847	0.247898444	rbm14_apc_cter	negative	68
J104_29	ndel1	acta1	1.339036427	0.098618451	ndel1_acta1	negative	69
R_313	bicd2	kif3a	14.73613488	1.671886198	bicd2_kif3a	positive	70
R_21	qk	rbm38	14.56681734	1.144531896	qk_rbm38	positive	71
J104_37	lam	larget	0.393847121	0.270942485	lam_larget	negative	72
R_43	mbnl1	msi2	14.44148205	0.270728173	mbnl1_msi2	positive	73
R_160	ewsr1	hnrnpa1	13.62156829	1.067645024	ewsr1_hnrnpa1	positive	74
J104_11	apc_cter	sap18	0.567727117	0.057306588	apc_cter_sap18	negative	75
R_24	qk	rbpms	13.45744243	0.643331378	qk_rbpms	positive	76
J104_18	klc2	rbbp4	1.546201136	0.284706017	klc2_rbbp4	negative	77
J104_35	slain2	srsf5	1.776922493	0.188828321	slain2_srsf5	negative	78
J104_33	rbm6	mapre1	2.217608921	0.14813314	rbm6_mapre1	negative	79
R_8	ptbp1	ptbp2	13.33574134	0.935060266	ptbp1_ptbp2	positive	80
J104_41	kif1b_nter	nelfe	0.633200262	0.15787813	kif1b_nter_nelfe	negative	81
