pair_no	gene in Halo vector	gene in Luc vector	interaction	processed plate
J103_01	csrp1	kif7	rbp_map	
J103_02	kif16b_cter	ncbp3	rbp_map	
J103_03	pura	kif3b	rbp_map	
J103_04	TSNAX	Bicd2	rbp_map	
J103_05	TSNAX	Kif6	rbp_map	
J103_06	TSNAX	Kif2a	rbp_map	
J103_07	gnl2	kif17v2	rbp_map	
J103_08	Mrps31	Bicd2	rbp_map	
J103_09	eif2s1	kif5a	rbp_map	
J103_10	nudt21	klc4	rbp_map	
J103_11	Rbm47	Kif3C	rbp_map	
J103_12	ddx39	kif5a	rbp_map	
J103_13	rpl27	kif7	rbp_map	
J103_14	SRSF9	Kif6	rbp_map	
J103_15	Imp3	Kif16b_cter	rbp_map	
J103_16	eif3d	kif23_cter	rbp_map	
J103_17	Rbm22	Bicd2	rbp_map	
J103_18	Unkl	Bicd2	rbp_map	
J103_19	SRSF2	kifc1	rbp_map	
J103_20	rpl14	kif12	rbp_map	
J103_21	Srfbp1	Kif20a_cter	rbp_map	
J103_22	Prpf31	Bicd2	rbp_map	
J103_23	nxf1	Klc2	rbp_map	
J103_24	Nxf1	SRSF1	rbp_map	
J103_25	purb	klc1	rbp_map	
J103_26	Bicd2	Kifc3_nter	rbp_map	
J103_27	ddx1	Kif23_cter	rbp_map	
J103_28	dync1li2	mrps5	rbp_map	
J103_29	kif20a_cter	nelfe	rbp_map	
J103_30	kif20a_cter	rpl27	rbp_map	
J103_31	kif3b	rsl1d1	rbp_map	
J103_32	kifc1	pes1	rbp_map	
J103_33	klc1	tubg1	rbp_map	
J103_34	Fxr2	Kif2c	rbp_map	
J103_35	Fxr2	dynlrb1	rbp_map	
J103_36	Fxr2	srsf11	rbp_map	
J103_37	Fxr2	Kif1b_nter	rbp_map	
J103_38	nat10	kif5a	rbp_map	
J103_39	lam	larget	rbp_map	
J103_40	p53	larget	rbp_map	
J115_1	nxf1	mapre3	rbp_map	
J115_2	mapre3	nxf1	rbp_map	
J115_3	nxf1	dynlt1c	rbp_map	
J115_4	dynlt1c	nxf1	rbp_map	
J115_5	nufip2	klc4	rbp_map	
J115_6	klc4	nufip2	rbp_map	
J115_7	nufip2	dynlt1c	rbp_map	
J115_8	dynlt1c	nufip2	rbp_map	
J115_9	nxf2	fmr1	rbp_map	
J115_10	fmr1	nxf2	rbp_map	
J115_11	nxf2	fxr2	rbp_map	
J115_12	fxr2	nxf2	rbp_map	
J115_13	nxf2	kif17v1	rbp_map	
J115_14	kif17v1	nxf2	rbp_map	
J115_15	nxf2	kif17v2	rbp_map	
J115_16	kif17v2	nxf2	rbp_map	
J115_17	nufip2	klc2	rbp_map	
J115_18	klc2	nufip2	rbp_map	
J115_19	nxf1	mapre1	rbp_map	
J115_20	mapre1	nxf1	rbp_map	
J115_21	p53	largeT	rbp_map	
J115_22	lam	largeT	rbp_map	
J104_06	Rbm47	Kif3C	rbp_map	
J104_17	Klc2	nxf1	rbp_map	
J104_03	tsnax	klc4	rbp_map	
J104_09	Bicd2	tsnax	rbp_map	
J104_07	srsf6	nxf1	rbp_map	
J104_15	kifap3	pard6g	rbp_map	
J104_21	pard6g	kif3c	rbp_map	
J104_23	dynlt1c	fxr2	rbp_map	
J104_24	pard6g_aa117_aa156	mapt	rbp_map	
J104_25	dynlt1c	nudt21	rbp_map	
J104_22	prkci	kif3c	rbp_map	
J104_30	ndel1	pard6g_aa1_aa116	rbp_map	
J104_13	dynlt1c	nufip2	rbp_map	
J104_27	dynlt1c	klc4	rbp_map	
J104_08	mrps5	dync1li2	rbp_map	
J104_28	lactb	pard6g_aa117_aa156	rbp_map	
J104_26	prkci_aa254_aa596	rbm6	rbp_map	
J104_19	ywhae	klc2	rbp_map	
J104_20	ywhae	klc4	rbp_map	
J104_04	nufip2	nudt21	rbp_map	
J104_36	slain2	nudt21	rbp_map	
J104_05	akap8	mapre3	rbp_map	
J104_02	kif1bx4_cter	ywhae	rbp_map	
J104_16	kifap3	snrpa1	rbp_map	
J104_14	kifap3	prpf31	rbp_map	
J104_12	apc_cter	eif3d	rbp_map	
J104_01	kif1bx4_cter	raly	rbp_map	
J104_32	rbm14	apc_cter	rbp_map	
J104_29	ndel1	acta1	rbp_map	
J104_39	mapre3	fxr2	rbp_map	
J104_40	p53	larget	rbp_map	
J104_37	lam	larget	rbp_map	
J104_38	larget	lam	rbp_map	
J104_10	apc_cter	rps15	rbp_map	
J104_11	apc_cter	sap18	rbp_map	
J104_34	RBM6	MAPRE3	rbp_map	
J104_18	klc2	rbbp4	rbp_map	
J104_35	slain2	srsf5	rbp_map	
J104_33	RBM6	MAPRE1	rbp_map	
J104_31	PRPF3	MAPRE2	rbp_map	
J104_41	kif1b_nter	nelfe	rbp_map	
J104_42	nat10	kif5a	rbp_map	
R_1	ALG13	BAG4	top_screen_hits	plate 3
R_2	BAG4	BAG4	top_screen_hits	plate 3
R_3	CPSF7	SNRPF	top_screen_hits	plate 2
R_4	Eif3g	EIF4A3	top_screen_hits	plate 3
R_5	PRC1	Sf3a3	top_screen_hits	plate 3
R_6	BAG4	RBM42	top_screen_hits	plate 3
R_7	PCBP3	SNRPA	top_screen_hits	plate 3
R_8	ptbp1	Ptbp2	top_screen_hits	plate 3
R_9	Cstf2t	Tsnax	top_screen_hits	plate 3
R_10	CPSF7	EXOSC7	top_screen_hits	plate 2
R_11	CPSF7	Rbm14	top_screen_hits	plate 2
R_12	CPSF7	CPSF7	top_screen_hits	plate 2
R_13	CLK1	SRSF8	top_screen_hits	plate 2
R_14	Cstf2t	Pef1	top_screen_hits	plate 3
R_15	Lsm3	SNRPF	top_screen_hits	plate 2
R_16	larp4b	Rack1	top_screen_hits	plate 3
R_17	Eif3g	Mrpl13	top_screen_hits	plate 3
R_18	Mrps31	Sf3a3	top_screen_hits	plate 2
R_19	PRR3	SNRPA	top_screen_hits	plate 3
R_20	Mbnl1	Rbm38	top_screen_hits	plate 3
R_21	Qk	Rbm38	top_screen_hits	plate 4
R_22	ctbp1	Rbm22	top_screen_hits	plate 1
R_23	Pspc1	Rbm22	top_screen_hits	plate 3
R_24	Qk	Rbpms	top_screen_hits	plate 4
R_25	BAG4	Pef1	top_screen_hits	plate 3
R_26	cep55	Tsnax	top_screen_hits	plate 3
R_27	msi2	Rbm38	top_screen_hits	plate 3
R_28	CPSF7	Sf3a3	top_screen_hits	plate 3
R_29	CPSF7	Pspc1	top_screen_hits	plate 3
R_30	BAG4	SNRPA	top_screen_hits	plate 3
R_31	CPSF7	Pef1	top_screen_hits	plate 3
R_32	cep55	CPSF7	top_screen_hits	plate 3
R_33	dmrtb1	Qk	top_screen_hits	plate 1
R_34	Rbm14	SNRPA	top_screen_hits	plate 4
R_35	Nufip2	Rack1	top_screen_hits	plate 1
R_36	Rbm14	sfpq	top_screen_hits	plate 4
R_37	EXOSC8	Rbm22	top_screen_hits	plate 3
R_38	Pef1	Rbm14	top_screen_hits	plate 3
R_39	Qk	Rbm47	top_screen_hits	plate 4
R_40	PRPF38A	SRRM4	top_screen_hits	plate 4
R_41	AP2M1	LUC7L2	mid_screen_hits	plate 3
R_42	Eif3d	ZRSR2	mid_screen_hits	plate 2
R_43	Mbnl1	msi2	mid_screen_hits	plate 3
R_44	ST13	ST13	mid_screen_hits	plate 4
R_45	MREG	Nufip2	mid_screen_hits	plate 3
R_46	trnau1ap	dmrtb1	mid_screen_hits	plate 4
R_47	SNRNP48	LUC7L2	mid_screen_hits	plate 4
R_48	Srsf9	RBMX	mid_screen_hits	plate 2
R_49	BCAS2	larp4	mid_screen_hits	plate 3
R_50	Qk	Rbfox2_gt	mid_screen_hits	plate 4
R_51	nxf1	Rbpms	mid_screen_hits	plate 2
R_52	Ewsr1	Hnrnph2	mid_screen_hits	plate 3
R_53	trnau1ap	Qk	mid_screen_hits	plate 4
R_54	EXOSC5	EXOSC5	mid_screen_hits	plate 3
R_55	ddx39ab	SNRPA	mid_screen_hits	plate 3
R_56	Pef1	Sf1	mid_screen_hits	plate 3
R_57	Tia1	Celf1	mid_screen_hits	plate 4
R_58	FRG1	FRG1	mid_screen_hits	plate 2
R_59	CPEB2	CPEB2	mid_screen_hits	plate 3
R_60	prpf31	CPSF7	mid_screen_hits	plate 2
R_61	Qk	PRRC2B	low_screen_hits	plate 4
R_62	nxf1	Srsf5	low_screen_hits	plate 2
R_63	khdrbs2	Pcbp1	low_screen_hits	plate 4
R_64	PRR3	SRSF12	low_screen_hits	plate 4
R_65	RPL34	ASPM	low_screen_hits	plate 4
R_66	TXNL4A	SMARCB1	low_screen_hits	plate 4
R_67	LSM5	trnau1ap	low_screen_hits	plate 4
R_68	Zc3h10	ddx17	low_screen_hits	plate 4
R_69	TOP3B	CLK2	low_screen_hits	plate 4
R_70	rbm10	Polrmt	low_screen_hits	plate 4
R_71	Dcx	ddx17	low_screen_hits	plate 4
R_72	USP10	SQSTM1	low_screen_hits	plate 4
R_73	GTSE1	EHMT2	low_screen_hits	plate 4
R_74	PRPF6	D2Wsu81e	low_screen_hits	plate 4
R_75	USP10	NGRN	low_screen_hits	plate 4
R_76	Mrpl11	Cpsf6	low_screen_hits	plate 4
R_77	YTHDF3	SSBP1	low_screen_hits	plate 2
R_78	USP10	EXOSC7	low_screen_hits	plate 4
R_79	ANKHD1	rbfox2_orf	low_screen_hits	plate 4
R_80	ZNF830	rbm7	low_screen_hits	plate 4
R_81	nxf1	Nudt21	high_interest	plate 1
R_82	Nudt21	nxf1	high_interest	plate 1
R_83	Dynll1	larp4	high_interest	plate 1
R_84	larp4	Dynll1	high_interest	plate 4
R_85	Klc4	Mkrn1	high_interest	plate 2
R_86	Mkrn1	Klc4	high_interest	plate 4
R_87	Fxr1	Nufip2	high_interest	plate 4
R_88	Nufip2	Fxr1	high_interest	plate 1
R_89	fxr2	Tsnax	high_interest	plate 1
R_90	Tsnax	fxr2	high_interest	plate 1
R_91	fxr2	x2700060e02rik	high_interest	plate 1
R_92	x2700060e02rik	fxr2	high_interest	plate 4
R_93	nxf1	bicd2	high_interest	plate 1
R_94	bicd2	nxf1	high_interest	plate 1
R_95	nxf1	Klc4	high_interest	plate 1
R_96	Klc4	nxf1	high_interest	plate 1
R_97	ccdc9	HOOK1	high_interest	plate 4
R_98	HOOK1	ccdc9	high_interest	plate 4
R_99	nxf1	Tsnax	high_interest	plate 1
R_100	Tsnax	nxf1	high_interest	plate 1
R_101	APC_nter	Nufip2	high_interest	plate 4
