Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
rbm12	rbm10776q	4	1.9	20.35	0.18	56.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10598f	3	1.74	18.82	0.09	19.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10580f	1	1.77	18.75	0	12.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10605f	2	0	17.82	0	7.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	ddx3x	1	1.73	17.7	0	6	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10408v	2	0	17.58	0	6.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ctbp1	rbm14	10	8.41	17.19	0.27	118.82	1	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
map4	dcaf13	1	1.9	17.12	0.36	113.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b2	ap2m1	2	1.65	16.95	0.73	85.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b2	apobec3g	2	1.64	16.9	0	127.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h7b	ehmt2	1	0	16.68	0	23.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h7b	eef1g	1	0	16.45	0	61.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
fez2	eif4e	3	1.77	16.41	5.82	1463.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10784l	3	0	16.31	0	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10354e	2	0	16.19	0	3	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	cpsf6	11	13.98	16.03	0.64	301.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	ptbp2	8	4.49	15.73	0.36	29.91	1	0	5.47	0	5	1	6.8	0	0	0	0			pos	13.34	0.94							
sf1	ewsr1	3	3.29	15.5	0.09	61.64	0	7.17	11.66	0	3	0	9.8	0	0	1	0			N/A	N/A	N/A							
rbm10354e	rbm10408v	1	0	15.23	0.18	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	srpk2	10	9.52	14.79	6.18	941.36	1	2.32	5.06	0	5	3.2	10	0	0	0	1			N/A	N/A	N/A							
rbm14	bag4	11	10.89	14.77	1.18	367.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	ubl5	2	1.69	14.72	1	489.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	rrp7a	1	1.5	14.67	0.55	66.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srpk2	ddx50	6	6.86	14.67	0.64	172.18	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
rbm12	rbm10wtv	4	0	14.64	0	4.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	elavl3	2	1.6	14.63	0.36	296.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	srsf12	4	3.1	14.63	0.55	265.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	eif4e	2	1.71	14.61	1.27	546.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pum2	rbm38	5	1.59	14.48	0.18	14.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	rbfox2_orf	9	7.8	14.46	1.91	287.09	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
tacc3	eif4a3	2	3.03	14.39	0.27	188.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rbm34	2	1.66	14.32	0.45	302.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
u2af1	u2af2	11	10.26	14.24	6.45	1393.82	1	9.07	9.02	1	5	15.4	298.6	1	1	1	1			N/A	N/A	N/A							
cfl1	actb	10	9.08	14.2	1.27	257.64	1	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1			N/A	N/A	N/A							
dusp14	ctbp1	3	1.53	14.17	0.09	6.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	txnl4a	1	1.46	14.14	2.91	456.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	pspc1	10	8.92	13.98	1.55	210.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	elavl2	2	0	13.97	0	2.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	kat5	2	1.65	13.97	0	28	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	ctbp1	6	0	13.96	0.09	8.09	0	0	0	0	4	0	2.6	0	0	0	0			N/A	N/A	N/A							
rbpms	prrc2b	7	6.47	13.94	1.73	153.45	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	ralyl	2	1.68	13.94	0	10.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nudt21	cpsf6	9	10.33	13.92	0.27	290	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1			N/A	N/A	N/A							
