HGNC ID	Approved symbol	Gene group name	Mouse genome database ID
HGNC:5	A1BG	Immunoglobulin like domain containing	MGI:2152878
HGNC:37133	A1BG-AS1	Antisense RNAs	
HGNC:24086	A1CF	RNA binding motif containing	MGI:1917115
HGNC:7	A2M	C3 and PZP like, alpha-2-macroglobulin domain containing	MGI:2449119
HGNC:27057	A2M-AS1	Antisense RNAs	
HGNC:23336	A2ML1	C3 and PZP like, alpha-2-macroglobulin domain containing	
HGNC:41022	A2ML1-AS1	Antisense RNAs	
HGNC:41523	A2ML1-AS2	Antisense RNAs	
HGNC:8	A2MP1		
HGNC:30005	A3GALT2	Glycosyltransferase family 6	MGI:2685279
HGNC:18149	A4GALT	Blood group antigens|Alpha 1,4-glycosyltransferases	MGI:3512453
HGNC:17968	A4GNT	Alpha 1,4-glycosyltransferases	MGI:2143261
HGNC:13666	AAAS	WD repeat domain containing|Nucleoporins	MGI:2443767
HGNC:21298	AACS	Acyl-CoA synthetase family	MGI:1926144
HGNC:18226	AACSP1		
HGNC:17	AADAC	Arylacetamide deacetylase family|Lipases	MGI:1915008
HGNC:24427	AADACL2	Arylacetamide deacetylase family	MGI:3646333
HGNC:50301	AADACL2-AS1	Antisense RNAs	
HGNC:32037	AADACL3	Arylacetamide deacetylase family	MGI:2685281
HGNC:32038	AADACL4	Arylacetamide deacetylase family	
HGNC:50305	AADACP1		
HGNC:17929	AADAT		MGI:1345167
HGNC:25662	AAGAB		MGI:1914189
HGNC:19679	AAK1	Small nucleolar RNA protein coding host genes	MGI:1098687
HGNC:30205	AAMDC		MGI:1913523
HGNC:18	AAMP	WD repeat domain containing	MGI:107809
HGNC:19	AANAT	GCN5 related N-acetyltransferases	MGI:1328365
HGNC:15886	AAR2		MGI:1915545
HGNC:33842	AARD		MGI:2181621
HGNC:20	AARS1	Aminoacyl tRNA synthetases, Class II	MGI:2384560
HGNC:49894	AARS1P1		
HGNC:21022	AARS2	Aminoacyl tRNA synthetases, Class II	MGI:2681839
HGNC:28417	AARSD1		MGI:1916934
HGNC:23993	AASDH	Acyl-CoA synthetase family	MGI:2442517
HGNC:14235	AASDHPPT		MGI:1914868
HGNC:17366	AASS		MGI:1353573
HGNC:51526	AATBC	Long non-coding RNAs with non-systematic symbols	
HGNC:19235	AATF	MicroRNA protein coding host genes	MGI:1929608
HGNC:21	AATK	MicroRNA protein coding host genes|Receptor tyrosine kinases|Protein phosphatase 1 regulatory subunits	MGI:1197518
HGNC:22	AAVS1		
HGNC:49667	ABALON	Long non-coding RNAs with non-systematic symbols	
HGNC:23	ABAT		MGI:2443582
HGNC:29	ABCA1	ATP binding cassette subfamily A	MGI:99607
HGNC:32	ABCA2	ATP binding cassette subfamily A	MGI:99606
HGNC:33	ABCA3	ATP binding cassette subfamily A	MGI:1351617
HGNC:34	ABCA4	ATP binding cassette subfamily A	MGI:109424
HGNC:35	ABCA5	ATP binding cassette subfamily A	MGI:2386607
HGNC:36	ABCA6	ATP binding cassette subfamily A|MicroRNA protein coding host genes	MGI:1923434
HGNC:37	ABCA7	ATP binding cassette subfamily A	MGI:1351646
HGNC:38	ABCA8	ATP binding cassette subfamily A	MGI:1351668, MGI:2386846
HGNC:39	ABCA9	ATP binding cassette subfamily A	MGI:2386796
HGNC:39983	ABCA9-AS1	Antisense RNAs	
HGNC:30	ABCA10	ATP binding cassette subfamily A	
HGNC:31	ABCA11P	ATP binding cassette subfamily A	
HGNC:14637	ABCA12	ATP binding cassette subfamily A	MGI:2676312
HGNC:14638	ABCA13	ATP binding cassette subfamily A	MGI:2388707
HGNC:32972	ABCA17P	ATP binding cassette subfamily A	MGI:3625331
HGNC:40	ABCB1	ATP binding cassette subfamily B|CD molecules	MGI:97570
HGNC:45	ABCB4	ATP binding cassette subfamily B	MGI:97569
HGNC:46	ABCB5	ATP binding cassette subfamily B	MGI:1924956
HGNC:47	ABCB6	ATP binding cassette subfamily B|Blood group antigens	MGI:1921354
HGNC:48	ABCB7	ATP binding cassette subfamily B	MGI:109533
HGNC:49	ABCB8	ATP binding cassette subfamily B	MGI:1351667
HGNC:50	ABCB9	ATP binding cassette subfamily B	MGI:1861729
HGNC:41	ABCB10	ATP binding cassette subfamily B	MGI:1860508
HGNC:14114	ABCB10P1		
HGNC:31129	ABCB10P3		
HGNC:31130	ABCB10P4		
HGNC:42	ABCB11	ATP binding cassette subfamily B	MGI:1351619
HGNC:51	ABCC1	ATP binding cassette subfamily C	MGI:102676
HGNC:53	ABCC2	ATP binding cassette subfamily C	MGI:1352447
HGNC:54	ABCC3	ATP binding cassette subfamily C	MGI:1923658
HGNC:55	ABCC4	ATP binding cassette subfamily C	MGI:2443111
HGNC:56	ABCC5	ATP binding cassette subfamily C	MGI:1351644
HGNC:40055	ABCC5-AS1	Antisense RNAs	
HGNC:57	ABCC6	ATP binding cassette subfamily C	MGI:1351634
HGNC:33352	ABCC6P1		
HGNC:33353	ABCC6P2		
HGNC:59	ABCC8	ATP binding cassette subfamily C	MGI:1352629
HGNC:60	ABCC9	ATP binding cassette subfamily C	MGI:1352630
HGNC:52	ABCC10	ATP binding cassette subfamily C|MicroRNA protein coding host genes	MGI:2386976
HGNC:14639	ABCC11	ATP binding cassette subfamily C	
HGNC:14640	ABCC12	ATP binding cassette subfamily C	MGI:2441679
HGNC:16022	ABCC13	ATP binding cassette subfamily C	
HGNC:61	ABCD1	ATP binding cassette subfamily D	MGI:1349215
HGNC:62	ABCD1P1		
HGNC:63	ABCD1P2		
HGNC:64	ABCD1P3		
HGNC:65	ABCD1P4		
HGNC:42662	ABCD1P5		
HGNC:66	ABCD2	ATP binding cassette subfamily D	MGI:1349467
HGNC:67	ABCD3	ATP binding cassette subfamily D|GOLD domain containing	MGI:1349216
HGNC:68	ABCD4	ATP binding cassette subfamily D	MGI:1349217
HGNC:69	ABCE1	ATP binding cassette subfamily E	MGI:1195458
HGNC:70	ABCF1	ATP binding cassette subfamily F|MicroRNA protein coding host genes	MGI:1351658
HGNC:53628	ABCF1-DT	Divergent transcripts	
HGNC:71	ABCF2	ATP binding cassette subfamily F	MGI:1351657
HGNC:54751	ABCF2-H2BE1		
HGNC:48841	ABCF2P1		
HGNC:48842	ABCF2P2		
HGNC:72	ABCF3	ATP binding cassette subfamily F	MGI:1351656
HGNC:73	ABCG1	ATP binding cassette subfamily G	MGI:107704
HGNC:74	ABCG2	ATP binding cassette subfamily G|CD molecules|Blood group antigens	MGI:1347061
HGNC:13884	ABCG4	ATP binding cassette subfamily G	MGI:1890594
HGNC:13886	ABCG5	ATP binding cassette subfamily G	MGI:1351659
HGNC:13887	ABCG8	ATP binding cassette subfamily G	MGI:1914720
HGNC:17553	ABHD1	Abhydrolase domain containing	MGI:1931013
HGNC:18717	ABHD2	Abhydrolase domain containing	MGI:1914344
HGNC:18718	ABHD3	Abhydrolase domain containing	MGI:2147183
HGNC:20154	ABHD4	Abhydrolase domain containing	MGI:1915938
HGNC:21396	ABHD5	Abhydrolase domain containing	MGI:1914719
HGNC:21398	ABHD6	Abhydrolase domain containing	MGI:1913332
HGNC:23759	ABHD8	Abhydrolase domain containing	MGI:1918946
HGNC:25656	ABHD10	Abhydrolase domain containing	MGI:2442422
HGNC:16407	ABHD11	Abhydrolase domain containing	MGI:1916008
HGNC:18289	ABHD11-AS1	Antisense RNAs	
HGNC:15868	ABHD12	Abhydrolase domain containing	MGI:1923442
HGNC:19837	ABHD12B	Abhydrolase domain containing	MGI:2685650
HGNC:20293	ABHD13	Abhydrolase domain containing	MGI:1916154
HGNC:24538	ABHD14A	Abhydrolase domain containing	MGI:1915894
HGNC:38856	ABHD14A-ACY1		
HGNC:28235	ABHD14B	Abhydrolase domain containing	MGI:1923741
